MODE_ID,MODE_NAME,FOCUSED,CPF,CPF_BANK,PAYMODE_TYPE,MODE_ABBR,IS_COLLECTION,IS_PAYMENT,IS_POLICY,IS_BATCH,IS_OTC,IS_CASH,MODE_DESC,ACCOUNT_TYPE,CAN_SUSPEND,IS_BANK,NEED_TEMP_RECEIPT_NO,MAX_DEDUCTION_FAIL_TIME,MODE_CODE
0,"Not Relevant",N,N,N,0,0,N,N,N,N,N,N,"For excetpion case, such as migration cases",NULL,N,N,N,NULL,0
1,Cash,N,N,N,1,C,Y,Y,Y,N,Y,Y,"Physical Cash in IDR or USD",NULL,N,Y,Y,NULL,C
2,Cheque,N,N,N,2,K,Y,Y,Y,Y,Y,Y,"Physical Cheque",NULL,N,Y,Y,NULL,K
3,"Direct Debit",N,N,N,3,DDA,Y,Y,Y,Y,Y,Y,"EFT(electronic file transfer), the bank account belongs to policy holder",2,Y,N,N,NULL,DDA
4,"Debit Agent",N,N,N,0,DA,Y,N,N,N,N,N,"Debit/Credit Agent",NULL,N,N,N,NULL,DA
5,"Internal Transfer",N,N,N,5,5,Y,N,N,N,N,N,"transfering within the insurance company, for example, transfer from payable to suspense or from one policy to another policy",NULL,N,N,N,NULL,5
6,"Insurer Payment",N,N,N,0,6,Y,N,N,Y,N,N,"To waive certain amount of money or give tolerance to customer.",NULL,N,N,N,NULL,6
7,"Collecting Bank",N,N,N,6,CBK,Y,N,N,N,Y,Y,"No billing, but bank collects the money for insurance company ad hoc. And the phsical cash or cheque won't be recorded in our system.(collecting bank,Lockbox-manual)",NULL,N,N,N,NULL,CBK
8,"Investment Account Offer",N,N,N,0,8,N,N,Y,Y,N,N,"Selling units by offer price to pay for something",NULL,N,N,N,NULL,8
9,"Investment Account Bid",N,N,N,0,9,N,N,Y,Y,N,N,"Selling units by bid price to pay for something",NULL,N,N,N,NULL,9
11,"CPF OA",N,Y,Y,4,OA,Y,Y,Y,Y,N,N,"CPF Offical Account",10,Y,N,N,NULL,OA
12,SRS,N,Y,Y,4,SRS,Y,Y,Y,Y,N,N,"SRS Account",15,Y,N,N,NULL,SRS
13,ASPF-SA,N,Y,N,4,ASA,Y,Y,Y,Y,N,N,"ASPF Account",13,N,N,N,NULL,ASA
14,SSS,N,N,N,0,SSS,Y,N,Y,Y,Y,N,"Collecting money from the salary account of policy holder",5,N,N,N,NULL,SSS
